Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Non-Failure,Temperature difference [K],Power [W],Strain [minNm]
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,1,10.300000000000011,5665.0560021615,3296.5000000000005
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,1,10.399999999999977,7389.779895035999,4762.8
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1,10.300000000000011,6076.1229284385,3706.7000000000003
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,1,10.300000000000011,5907.115715844,4076.8
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,1,10.300000000000011,7321.5130867515,5374.200000000001
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,1,10.300000000000011,7422.012635625,5827.5
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,1,10.300000000000011,6475.325106474,5130.2
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,1,10.300000000000011,7277.436541871999,5842.0
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,1,10.300000000000011,7033.900279644,5744.7
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,1,10.399999999999977,6968.26193721,5820.0
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,1,10.300000000000011,7322.0052696,5937.5
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,1,10.300000000000011,7656.050816074501,6284.8
M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,1,10.300000000000011,4979.361518397,3354.0
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,1,10.300000000000011,6875.207962916999,6157.9
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,1,10.399999999999977,8043.2625821625,7276.5
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,1,10.300000000000011,6520.815368046,6174.0
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,0,10.200000000000045,1378.1748076529998,657.8
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,1,10.200000000000045,7951.0254219584995,7960.5
H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,1,10.199999999999989,6866.327727692999,6438.599999999999
L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,1,10.300000000000011,5752.4132217825,5335.2
L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,1,10.300000000000011,5330.1412817205,4635.400000000001
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,1,10.300000000000011,6444.286171092,6349.200000000001
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,1,10.300000000000011,6558.053712923999,6699.2
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,1,10.300000000000011,6385.1718693944995,6448.0
M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,1,10.199999999999989,5131.2156351225,4779.0
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,1,10.300000000000011,7850.1279380159995,8976.0
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,1,10.300000000000011,7673.004944409,8784.2
M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,1,10.199999999999989,6368.469068472,6455.8
L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,1,10.199999999999989,4386.0926903955,3938.7999999999997
M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,1,10.100000000000023,4914.5818779539995,4506.599999999999
L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,1,10.100000000000023,6156.244012989,6832.2
L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,1,10.100000000000023,6583.668164997,8072.900000000001
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,1,10.0,5046.1622501115,5194.7
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,1,10.099999999999966,6770.194992602999,8114.400000000001
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,1,10.099999999999966,5180.988934673999,6123.599999999999
L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,0,10.100000000000023,9700.923943935,12548.7
M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,1,10.100000000000023,4553.466274812,4361.8
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,1,10.200000000000045,6918.41533383,8918.0
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,1,10.200000000000045,6365.243700018,8791.199999999999
L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,1,10.100000000000023,5834.9847486,7000.0
L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,1,10.100000000000023,5415.299386486499,6524.599999999999
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,1,10.099999999999966,6743.8789181715,9526.800000000001
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,1,10.099999999999966,7328.487422434499,9867.4
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,0,10.099999999999966,6292.767157582499,8590.4
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,1,10.099999999999966,7539.508200735,0.0
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,1,10.099999999999966,5564.3679577289995,75.8
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,1,10.0,7550.8702941525,199.6
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,1,10.0,7212.573125625,427.5
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,1,10.0,6208.038403811999,448.79999999999995
L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,1,10.0,6168.7161358095,521.3000000000001
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,1,10.0,7088.1870006359995,714.0
M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,1,10.0,5062.906938936,455.6
H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,1,10.0,6601.575243102,878.0
L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,1,10.0,5141.656194696,795.0
M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,1,10.0,6716.599421994,1220.4
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,1,10.0,6150.8718895575,1185.0
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,1,10.0,4736.202247287,851.4
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,1,10.0,4771.765076085,871.5
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,1,10.0,4901.0625575835,1002.7
L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,1,9.899999999999977,6529.2767242499995,1720.0
L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,1,9.899999999999977,5418.388619259,1339.8
M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,1,10.0,7385.067506060999,2296.8
M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,1,10.0,5822.156578612499,1659.1
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,1,10.0,5479.4611803749995,1495.0
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,1,9.900000000000034,5235.8097264165,1733.1000000000001
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,1,10.0,7081.275496806,2442.0
L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,1,10.099999999999966,4848.5246565,1425.0
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,1,10.0,4315.8885666435,1221.3
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,1,10.0,6611.272292415,2476.6
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,1,10.0,6111.4972616775,2551.5
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,1,9.899999999999977,6590.01418215,2864.4
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,1,9.899999999999977,5181.5439493755,2114.8
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,1,9.899999999999977,7339.0222297875,3395.0
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,1,10.0,7336.624147397999,3369.6
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,1,9.900000000000034,5550.8486373585,2452.5
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,1,9.800000000000011,5613.523410726,2728.0
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,1,9.800000000000011,4410.7960806,1845.0
H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,1,9.900000000000034,6828.4087044074995,3654.0
M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,1,9.899999999999977,6196.372623105,3515.5
M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,1,9.800000000000011,6520.207993467,3854.7999999999997
L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,1,9.800000000000011,5172.3181389599995,2793.0
L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,1,9.800000000000011,6848.3264018085,4432.900000000001
L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,1,9.800000000000011,5584.955861562,3375.9
L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,1,9.800000000000011,5525.747312085,3333.0
M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,1,9.800000000000011,5023.061072158501,2894.3
L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,1,9.800000000000011,6252.4919398095,4314.200000000001
L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,1,9.800000000000011,6707.834378500501,4827.6
L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,1,9.800000000000011,6721.919185548,4532.0
L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,1,9.800000000000011,6955.171967835,5678.400000000001
L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,1,9.800000000000011,7026.318569382,4947.599999999999
L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,1,9.800000000000011,5317.019896418999,3410.3999999999996
L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,1,9.700000000000045,5260.282733160001,3799.6000000000004
L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,1,9.600000000000023,8419.9395408975,7260.0
L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,1,9.700000000000045,6880.5591423975,5673.0
L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,1,9.600000000000023,6414.943695741001,4786.400000000001
L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,1,9.600000000000023,5599.7527629435,4321.799999999999
L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,1,9.599999999999966,6339.7653836265,5260.8
L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,1,9.599999999999966,5038.5805398495,3601.0
M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,1,9.699999999999989,6518.930412456,5702.400000000001
M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,1,9.699999999999989,7427.56278264,6696.0
L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,1,9.599999999999966,7598.151263535,7314.0
M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,1,9.699999999999989,5106.5017729425,3990.0
H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,1,9.800000000000011,6795.683780970001,6535.1
L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,1,9.900000000000034,7510.930179595499,8184.4
H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,1,9.800000000000011,7495.902894752999,7410.0
L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,1,9.800000000000011,7409.383433171999,8649.0
L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,1,9.800000000000011,5712.1589479605,5667.7
L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,1,9.800000000000011,5691.393020544,5596.8
M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,1,9.799999999999955,5250.606627798,4540.2
H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,1,9.799999999999955,7440.7051118925,8282.0
M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,1,9.799999999999955,6176.203598292,7165.599999999999
L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,1,9.899999999999977,5323.617240984,5779.2
H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,1,9.899999999999977,6093.9776466660005,6281.400000000001
L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,1,10.0,6361.8821958825,7177.900000000001
M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,1,10.0,6931.61002296,8688.0
L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,1,9.900000000000034,6154.6627446884995,7341.599999999999
L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,1,9.900000000000034,6358.5206917470005,7942.200000000001
M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,1,9.800000000000011,5760.5080588440005,7068.8
M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,1,9.800000000000011,6800.919768719999,7831.0
L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,1,9.800000000000011,5230.75176225,5238.0
L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,1,9.800000000000011,5792.426640168001,7095.200000000001
H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,1,9.800000000000011,4119.947433063,3920.4
M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,1,9.700000000000045,7201.57755135,9338.0
H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,1,9.800000000000011,6732.747208215,8961.0
M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,1,9.800000000000011,6278.9965098,8440.0
L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,1,9.800000000000011,7240.009701434999,10058.0
L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,0,9.800000000000011,8149.019062737001,13111.2
L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,0,9.800000000000011,7733.302579337999,11401.4
L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,1,9.800000000000011,5896.036365765,0.0
M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,1,9.800000000000011,6733.312694891999,87.6
M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,1,9.800000000000011,6574.72509792,218.0
L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,1,9.899999999999977,4718.46272079,208.0
H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,1,9.800000000000011,5503.148788956,326.0
H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,1,9.900000000000034,6550.032179690999,643.5
L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,0,9.900000000000034,9348.9503754045,1246.0
L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,1,9.900000000000034,8157.019652019,1300.2
M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,1,9.800000000000011,5900.95819425,840.0
L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,1,9.900000000000034,7777.494315947999,1371.6
M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,1,9.899999999999977,4190.800819296001,603.2
M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,1,9.800000000000011,5614.7276879085,1078.4
L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,1,9.900000000000034,7973.341201749,2040.5
L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,1,9.900000000000034,6295.437511335,1609.5
L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,1,9.900000000000034,5879.4487565730005,1353.3000000000002
L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,1,10.0,4455.113480915999,877.4
L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,1,10.0,7548.953922635999,2158.6
L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,1,10.100000000000023,6800.417113895999,2241.0
L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,1,10.100000000000023,7707.6357673875,2345.2999999999997
H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,1,10.100000000000023,4622.413761503999,1185.8
M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,1,10.099999999999966,6759.681129201001,2597.4
L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,1,10.099999999999966,6329.2096323225005,2319.9
L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,1,10.0,5341.775646501001,1805.4
L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,1,10.0,5784.426050886001,2330.2000000000003
L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,1,10.199999999999989,7629.46247028,3528.0
L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,1,10.199999999999989,6224.0081664495,2801.5
L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,1,10.199999999999989,5650.845531408,2251.2000000000003
M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,1,10.099999999999966,6994.504707812999,2994.6
L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,1,10.199999999999989,7718.0867989365,3592.7999999999997
L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,1,10.199999999999989,6036.423669318,2560.4
H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,1,10.199999999999989,7583.427665981999,3936.7999999999997
H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,1,10.199999999999989,6079.903311594,2802.6
M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,0,10.300000000000011,3000.7026916229997,920.1999999999999
L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,1,10.199999999999989,6527.569792243499,3818.1
H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,1,10.300000000000011,7422.95511342,4504.5
M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,1,10.200000000000045,6540.1989946964995,3926.3999999999996
L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,1,10.300000000000011,5820.3239828999995,3465.0
L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,1,10.200000000000045,7067.9865598965,4757.1
L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,1,10.200000000000045,5897.293002825,3605.0
L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,1,10.199999999999989,6795.26490195,4326.0
M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,1,10.100000000000023,6116.1782347260005,3819.9
L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,1,10.100000000000023,5913.629284605,4169.0
L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,1,10.100000000000023,5980.000665324,3673.5999999999995
M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,1,10.100000000000023,7459.39758816,6042.0
L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,1,10.199999999999989,5947.8412285634995,4130.099999999999
M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,0,10.300000000000011,9032.5710515985,7223.3
L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,1,10.200000000000045,6114.5550785235,4477.400000000001
L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,1,10.200000000000045,6805.52743794,5456.0
L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,1,10.300000000000011,5757.523545826501,4548.6
L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,1,10.199999999999989,5591.2495188375,4339.2
H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,1,10.300000000000011,7445.323253087999,6877.0
L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,1,10.300000000000011,6516.856961307,6061.5
M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,1,10.300000000000011,6173.4285247845,5082.7
L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,1,10.300000000000011,6532.879083821999,5642.0
L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,1,10.300000000000011,6012.139158133499,5438.599999999999
L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,1,10.199999999999989,5506.416045312,4550.400000000001
L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,1,10.300000000000011,5773.2733969785,5562.6
M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,1,10.199999999999989,6937.767544554,6837.6
L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,1,10.199999999999989,7814.523221316,7957.700000000001
H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,1,10.100000000000023,4649.1487149555,3717.9
L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,1,10.200000000000045,6144.9552234,7110.0
L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,1,10.200000000000045,5652.102168468,5504.0
L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,1,10.300000000000011,4860.169493256,4746.6
L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,1,10.199999999999989,7673.402879477999,8823.199999999999
L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,1,10.099999999999966,6847.289676234001,8167.200000000001
L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,1,10.199999999999989,5818.0096763145,6064.8
M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,1,10.199999999999989,6328.8326412045,6307.0
L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,1,10.199999999999989,5186.099258718001,5570.6
L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,1,10.300000000000011,5721.46853418,6089.999999999999
L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,1,10.099999999999966,6354.897388224,7628.7
L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,1,10.199999999999989,7098.156321312001,8520.4
L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,1,10.199999999999989,5525.935807643999,6316.9
L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,1,10.199999999999989,6639.881729481,7850.7
M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,1,10.199999999999989,5928.813649080001,6234.500000000001
L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,1,10.199999999999989,6058.718505157501,7275.6
M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,1,10.100000000000023,5948.4171872160005,6954.0
L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,1,10.200000000000045,7337.493321364499,9707.9
L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,1,10.199999999999989,5162.327874333,5967.0
M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,1,10.100000000000023,7235.339200362001,10165.2
L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,1,10.100000000000023,4521.9142126305,4860.0
L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,0,10.199999999999989,8300.339108712,11877.599999999999
L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,1,10.199999999999989,6659.359603911001,8996.4
M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,1,10.199999999999989,7172.7272588475,10114.6
M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,1,10.200000000000045,5349.901899488999,6562.599999999999
L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,1,10.200000000000045,5560.3571911125,7102.0
L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,1,10.199999999999989,6999.4160643225,9737.0
L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,0,10.300000000000011,8101.287798407999,12268.8
L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,0,10.300000000000011,8268.776574555,12251.6
L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,1,10.300000000000011,5691.246412887,0.0
M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,1,10.199999999999989,6539.9162513579995,85.2
L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,1,10.199999999999989,6073.326910979999,179.0
L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,1,10.199999999999989,6849.446903187,337.40000000000003
L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,1,10.199999999999989,6008.882373753,341.09999999999997
L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,1,10.199999999999989,6299.479693878,444.4
